Band Name,Time,Genre,Address,latitude,longitude
Moretti Family Band,12:00pm – 2:00pm,Rock,68 Chandler St ,42.4038063,-71.1443166
Morningside Music Studio Ensembles,12:00pm – 2:00pm,Jazz,58 Newbury St ,41.7409298,-72.6905743
Nev4there,12:00pm – 2:00pm,Electronic,61 Winslow Ave ,42.1872076,-71.2051519
Niteshade,12:00pm – 2:00pm,Funk,21 Burnham St ,42.4018529,-71.1211237
NOTADOG,12:00pm – 1:59pm,Punk,65 Conwell Ave ,42.4080088,-71.1276651
One Time Weekend,12:00pm – 1:30pm,Rock,44 Walker St ,-33.9296594,151.1466315
One Time Weekend,12:00pm – 1:30pm,Rock,44 Walker St ,-33.9296594,151.1466315
Our Neighbours Will Be Thrilled,12:00pm – 2:00pm,Pop,90 Orchard St ,41.7748878,-72.6452596
Parallel Beats Sound System,12:00pm – 2:00pm,"Electronic, Funk, Hip hop, Jazz, Soul…",29 Elston St ,42.393257,-71.1189335
Populace,12:00pm – 2:00pm,Funk,44 Clarendon Ave ,43.6833194,-79.4040749
Proper Degorham,12:00pm – 1:00pm,Americana,39 Gorham St ,42.3991399,-71.1259046
Pyramid Scheme,12:00pm – 2:00pm,Indie,41 Bay State Avenue ,42.3992863,-71.1154646
Radio Unfriendly,12:00pm – 2:00pm,"Metal, Rock",105 Orchard St ,36.642349,-80.2698981
Raggie Mogers,12:00pm – 2:00pm,Pop,55 Paulina St ,42.4009043,-71.1243219
Railyard Haunts,12:00pm – 2:00pm,Rock,44 Liberty Ave ,-37.9291072,145.2404163
Ramble on Rose,12:00pm – 2:00pm,"Americana, Rock",40 College Ave ,42.3981483,-71.1217138
Ruby Grove,12:00pm – 2:00pm,"Indie, Rock",78 Chandler St ,42.4036446,-71.1448174
Sam Reid and the Riot Act,12:00pm – 2:00pm,Bluegrass,10 Irving Street ,42.3989381,-71.1239705
Scrivener,12:00pm – 12:30pm,Indie,36 Pearson Rd ,42.4016197,-71.114975
Shaggy Goats / Toby Tantrum,12:00pm – 2:00pm,Indie,135 Morrison Avenue ,43.9919025,-75.911519
Small House,12:00pm – 2:00pm,Rock,12 Windom St ,42.3933081,-71.1201081
Sound Advice,12:00pm – 2:00pm,Rock,25 Walker Street ,-35.9554847,149.1459103
Sound Advice,12:00pm – 1:00pm,Rock,25 Walker Street ,-35.9554847,149.1459103
Space bar,12:00pm – 2:00pm,Rock,22 Barton St ,-33.8478092,151.1050051
Space Casino and Gale,12:00pm – 2:00pm,"Indie, Pop, Rock",12 Curtis St ,-30.496139,151.6706568
Spacebar,12:00pm – 2:00pm,"Blues, Indie, Rock",22 Barton St ,-33.8478092,151.1050051
SPRUCE,12:00pm – 2:00pm,Rock,10 Liberty Ave ,42.6634701,-73.6390086
Stadia (first band); Carey (second…,12:00pm – 1:30pm,Indie,55 Liberty Ave ,-37.9302005,145.2407243
State Parque,12:00pm – 2:00pm,Rock,142 Holland St ,42.4000469,-71.1257059
Stock Goblin,12:00pm – 2:00pm,Indie,73 Hall Ave ,42.3973495,-71.1177337
Strung Out Committee,12:00pm – 2:00pm,Rock,22 Ossipee Rd ,42.4031871,-71.1227497
sunfisher,12:00pm – 2:00pm,Country,45 whitfield Rd ,42.4064313,-71.1245529
Switch Angel,12:00pm – 1:00pm,Electronic,103 Raymond Ave ,42.4079233,-71.1294295
Talking Deads,12:00pm – 2:00pm,Rock,32 Whitman Street ,42.4022557,-71.1235596
The 4th Story,12:00pm – 2:00pm,Singer/songwriter,57 Chandler St ,42.3996042,-71.1209919
The Appleton Trio,12:00pm – 2:00pm,Classical,43 Russell Road ,41.5541589,-70.596758
The Bare Minimums,12:00pm – 2:00pm,Rock,42 Conwell Ave ,42.4073803,-71.1267915
The Buzz,12:00pm – 2:00pm,Rock,23 Gordon St ,-33.8958735,151.1523662
The Claustrophiliacs,12:00pm – 2:00pm,Rock,40 Thorndike St ,42.3692863,-71.0796099
The Craigtones,12:00pm – 2:00pm,Funk,32 Cameron Ave ,45.3914472,-75.6798615
The Ghost Truckers,12:00pm – 2:00pm,"Americana, Country, Rock",70 Howard St ,42.020269,-71.0110783
The Glue Factory,12:00pm – 2:00pm,Americana,98 Holland St ,42.3988981,-71.1247455
The Harmonic Modes,12:00pm – 2:00pm,Pop,"33 Bay State Ave, Somerville, MA, USA ",42.3995714,-71.1152775
The Homogenous Oatmeal Experience,12:00pm – 1:30pm,Indie,79 Ossipee Rd ,42.4045294,-71.1250083
The Institute,12:00pm – 2:00pm,Electronic,31 Winter St ,42.7776099,-71.0786522
The Lucky 88s,12:00pm – 2:00pm,Rock,88 Bay State Ave ,42.3976146,-71.1161115
The Painted World w/Ben Hanson,12:00pm – 2:00pm,Singer/songwriter,45 Walker St ,-33.9296549,151.1474826
The Paper Trails,12:00pm – 2:00pm,Rock,23 Appleton St ,42.397008,-71.1166793
The Rockery,12:00pm – 2:00pm,Rock,80 Electric Ave ,42.5898917,-71.756046
The Roscoes,12:00pm – 2:00pm,Rock,26 Moore St ,-37.902421,145.0099308
The Sideyardigans,12:00pm – 2:00pm,"Country, Rock",5 Claremon Street ,42.4016278,-71.1269383
The Slow Down,12:00pm – 2:00pm,R&B,14 william street ,45.358712,-68.5068585
The Uptown Downbeats,12:00pm – 2:00pm,Jazz,51 Waterhouse St ,-39.541058,176.8395987
The Wildflowers,12:00pm – 1:00pm,Folk,23 Mason St ,51.4567202,-0.9870756
The Yardbarkers,12:00pm – 2:00pm,"Folk, Indie, Rock",14 Bay State Ave ,42.4000417,-71.1144791
TimmyG,12:00pm – 1:00pm,Electronic,40 Hall Ave ,42.3981105,-71.1188889
Tufts Greek Music Ensemble,12:00pm – 2:00pm,World,19 Teele Ave ,42.4055422,-71.1238813
twangy turtles,12:00pm – 1:00pm,"Classical, Folk, Singer/songwriter",10 Clarendon Ave ,42.3995849,-71.1321764
Vic Taylor x Matt Lab,12:00pm – 2:00pm,Country,22 Malvern Ave ,42.4000963,-71.1289228
Washington Square Jazz Quartet,12:00pm – 2:00pm,Jazz,34 Winslow Ave ,42.3970013,-71.1201412
Weasel Collider,12:00pm – 2:00pm,Rock,126 Hillsdale Rd ,42.4085737,-71.1264036
Wes Nickerson and Friends,12:00pm – 2:00pm,,69 Dover St ,42.3959844,-71.1249431
WHEREDITGO,12:00pm – 2:00pm,Hip hop,118 Holland St ,42.3993162,-71.1251631
Winslow Recorder Orchestra,12:00pm – 2:00pm,Classical,80 Winslow Ave ,42.3962334,-71.1181465
Your Best Nightmare,12:00pm – 1:00pm,"Folk, Indie",9 Newbury St ,51.5193069,-0.0982049
Will Johnson,12:10pm – 1:00pm,Indie,31 Chandler St ,42.3988691,-71.1216326
Honest Bob and the Factory-to-Deale…,12:15pm – 1:15pm,Indie,32 Gorham St ,42.3988147,-71.1258065
Jesse Matthew Taylor,12:15pm – 1:30pm,Rock,29 Walker St. ,52.9545135,-1.1347478
Karaoke Wonderland,12:15pm – 1:45pm,Pop,182 Morrison Ave ,42.3968263,-71.1190403
brattle,12:30pm – 1:30pm,Rock,52 Liberty Avenue ,44.9395085,-74.8833622
Diminished Fourth,12:30pm – 1:50pm,"Classical, Folk",20 Fairfax St ,42.3422123,-71.2269885
Ensemble InEdit,12:30pm – 1:00pm,Electronic,95 Yorktown St ,42.4003064,-71.1295037
Friends From Work,12:30pm – 1:30pm,"Country, Indie, Pop, Rock",58 Bromfield Rd ,42.4032643,-71.1165044
Niagara Moon,12:30pm – 2:00pm,Folk,51 St James Ave ,53.162262,-2.2239438
Reading Room,12:30pm – 1:30pm,Indie,1 Watson St ,-41.7548079,171.608409
Sebastian Coates,12:30pm – 2:00pm,Jazz,186 Morrison Ave ,42.3968476,-71.1192395
The Bros Grym,12:30pm – 2:00pm,Americana,9 Walker Street ,-33.8427678,151.208391
The Timmy D Experience,12:30pm – 1:30pm,Pop,99 Raymond Ave ,42.4078758,-71.1292797
Wet the Evil,12:30pm – 1:00pm,Metal,19 Pearson Rd ,42.4012278,-71.1142235
Mallcops,12:45pm – 2:00pm,Indie,19 Hall Ave ,41.0399454,-73.7596935
Alex & the People,1:00pm – 2:00pm,Rock,15 Garrison Ave ,42.4048308,-71.1310989
Brassterisk,1:00pm – 2:00pm,Americana,56 Wallace St ,14.4054397,120.904098
Captain Oak,1:00pm – 2:00pm,Americana,56 Farragut Ave ,42.4032508,-71.1313681
Crowfeeder,1:00pm – 1:45pm,Metal,16 Cady Ave ,42.4001569,-71.1243889
Fletcheros,1:00pm – 2:00pm,World,38 Chetwynd Rd ,42.4082975,-71.1257084
Gold Rush,1:00pm – 2:00pm,Punk,40 Hall Avenue ,42.3981105,-71.1188889
Jamaica Plain Honk Band,1:00pm – 2:00pm,Jazz,32 Chandler Street ,42.7012402,-71.170556
Mother Fungus,1:00pm – 1:50pm,Rock,19 Pearson Rd ,42.4012278,-71.1142235
Muck Fit,1:00pm – 2:00pm,Rock,11 Simpson Ave ,42.3993278,-71.124047
Muddy Ruckus with Barry Rothman,1:00pm – 3:00pm,Rock,93 Kidder Ave ,42.3978044,-71.1150949
Osprey Creek,1:00pm – 2:00pm,Country,10 Lovell St ,-37.842727,145.0465245
Phil and the Flying Leap,1:00pm – 2:00pm,Singer/songwriter,36 Pearson Rd ,42.4016197,-71.114975
POLЯ,1:00pm – 1:45pm,Singer/songwriter,154 North St ,42.0951058,-71.2567752
Really Great,1:00pm – 1:30pm,Indie,62 Gorham St ,42.3986619,-71.1260121
Summer Fling,1:00pm – 2:00pm,Pop,25 Walker St ,52.9545921,-1.1349842
The Brio,1:00pm – 2:00pm,Jazz,101 Raymond Ave ,42.4079233,-71.1294295
Tusken and the Raiders,1:00pm – 2:00pm,Rock,142 Holland St ,42.4000469,-71.1257059
Leaf and Machine,1:20pm – 2:00pm,Indie,9 Newbury Street ,41.9567022,-71.2396944
Hope Symphony,1:30pm – 2:00pm,"Jazz, Metal",142 Orchard St ,42.3951316,-71.125352
They They,1:30pm – 2:00pm,Indie,166 Curtis St ,32.9448498,-102.5590361
a.k.a. Ten Hills Taylor,2:00pm – 4:00pm,Americana,59 Pearson Ave ,42.3964867,-71.1114375
ALDRA,2:00pm – 4:00pm,Rock,32 Tower St ,42.3903786,-71.0064882
Allie’s House Band,2:00pm – 4:00pm,Rock,24 Wilton St ,-36.8607685,174.7301212
Allure,2:00pm – 4:00pm,"Indie, Rock",33 Hancock St ,42.201698,-71.0053466
Andrew Mason McIntosh & Friends,2:00pm – 4:00pm,"Rock, Singer/songwriter",7 Lexington Ave ,40.7912163,-73.0281447
Audiogram,2:00pm – 3:00pm,Rock,10 Richardson Terrace ,42.3962192,-71.1049078
Baabes,2:00pm – 4:00pm,Punk,18 Charnwood Rd ,37.5722612,-77.5684913
Banned,2:00pm – 3:30pm,Rock,96 Porter St ,41.7300082,-72.6212003
Becca and Eli formerly known as Eli…,2:00pm – 2:15pm,Folk,23 Monmouth St ,51.4398911,-2.5829301
Bell System & Pals,2:00pm – 4:00pm,Electronic,26 Hudson St ,51.9092445,-2.0776323
Black & Bluez,2:00pm – 4:00pm,Rock,25 Burnside Ave ,40.6250266,-74.1348452
Blake & Emmy's Wedding Band (& Frie…,2:00pm – 4:00pm,Indie,87 Belmont St ,42.0448547,-70.9839314
Blue Clouds Boston,2:00pm – 4:00pm,Indie,74 Boston Avenue ,42.2541437,-71.761253
Blue Light Bandits,2:00pm – 4:00pm,Rock,68 Albion St ,52.4848166,-1.9136108
Boston EDM DJs,2:00pm – 4:00pm,Electronic,11 Clyde St ,-46.1089218,168.9331896
Calcifer,2:00pm – 4:00pm,Jazz,81 Boston Avenue ,42.4188837,-71.1334808
Cat Ridgeway and the Tourists; Frie…,2:00pm – 4:00pm,Rock,10 Lowell Cir ,45.6120245,-94.2040815
Cheer Camp,2:00pm – 4:00pm,Punk,47 Rogers Ave ,40.8259602,-72.6431773
Cherry Pits / Mix-O-Lydian's,2:00pm – 4:00pm,"Funk, Rock",47 Cherry St ,42.3625948,-71.226932
Chris Wagner -Solo Acoustic Artist,2:00pm – 3:00pm,Rock,10 Lowell Terrace ,42.4190349,-71.0593399
Circuit Happy & Friends Quadraphoni…,2:00pm – 4:00pm,Electronic,46 Alpine St ,39.2047603,-81.5353778
Class President,2:00pm – 4:00pm,Rock,50 Porter St. ,44.1196027,-79.56465
Clever Hans with What She Said,2:00pm – 4:00pm,Rock,15 Harrison St ,53.0068552,-2.2203855
Combo Combo,2:00pm – 4:00pm,Jazz,44 Linden Ave ,42.4806308,-70.8930151
Cousin Walk,2:00pm – 4:00pm,"Folk, Indie, Pop, Singer/songwriter",45 Charnwood Rd ,42.3922443,-71.1156456
Craigie Street Crew (Featuring the…,2:00pm – 4:00pm,Folk,52 Craigie St ,42.3872671,-71.1117339
Crash Out and the Boys,2:00pm – 3:00pm,Indie,504 Medford St ,33.4885129,-80.8512485
Crush,2:00pm – 4:00pm,Rock,50 Benton Rd ,42.3886388,-71.1057489
Dadda,2:00pm – 4:00pm,Rock,60 MURDOCK ST ,38.8979514,-86.5089039
Dadda,2:00pm – 4:00pm,Rock,60 Murdock St ,38.8979514,-86.5089039
David Dominiq x Sun Salon,2:00pm – 4:00pm,Pop,91 Sacramento Street ,42.3837329,-71.1125714
Deep Dish,2:00pm – 4:00pm,Singer/songwriter,11 Greenwood Terrace ,42.3852979,-71.1140581
Defiant Together,2:00pm – 4:00pm,Folk,74 Rogers Ave ,43.1779885,-78.673586
Dr. Beaver 鬍子醫生,2:00pm – 4:00pm,"Country, Folk, Pop, Singer/songwriter",9 Spencer Ave ,52.4002147,-1.5232025
Drink Water,2:00pm – 3:30pm,Funk,14 Henry Ave ,42.3944268,-71.1159737
Drop Table,2:00pm – 4:00pm,Pop,24 Linden Ave ,42.1135461,-72.7570474
East Hill Band,2:00pm – 3:59pm,"Americana, Blues, Rock",35 Burnside Ave ,42.0079115,-71.4989456
East Rock Brass Band,2:00pm – 4:00pm,Jazz,163 Hudson St ,46.520276,-84.3504599
EBA,2:00pm – 4:00pm,Jazz,49 Albion St ,51.3596067,1.4430337
Eva Gertz,2:00pm – 4:00pm,Singer/songwriter,97 Rogers Ave ,42.1076975,-72.6629177
Evan Connolly,2:00pm – 4:00pm,Folk,2 Carver St ,42.0489773,-70.1893578
Feather Weather,2:00pm – 4:00pm,Funk,65 Alpine St ,39.2049372,-81.5354298
Frank Obermeyer,2:00pm – 3:00pm,Singer/songwriter,23 Conwell St ,34.8367059,-82.4151833
"Fü double-hockey sticks, Carl(less), and 88 mph",2:00pm – 4:00pm,"Funk, Rock, Singer/songwriter",18 Cherry St ,42.4650374,-70.9321698
Funk Safari,2:00pm – 4:00pm,Funk,78 Albion Street ,42.5026254,-71.0732142
Further Notice,2:00pm – 4:00pm,Funk,21 Sartwell Ave ,42.3898436,-71.1152632
Girl Scout Cookies / Automatic Laun…,2:00pm – 4:00pm,Rock,51 Prichard Ave ,42.3961635,-71.1108845
Groove Theory,2:00pm – 4:00pm,Jazz,48 Belmont St ,42.0447098,-70.9852568
Hoppers,2:00pm – 4:00pm,Electronic,102 Morrison Ave ,42.3953971,-71.1153415
Hot Sauce Rhythm and Blues,2:00pm – 3:15pm,R&B,52 Hinckley St ,42.3957439,-71.106071
Hot Start,2:00pm – 3:00pm,Indie,35 Rogers Ave ,40.8871649,-72.3810133
Hot Take,2:00pm – 4:00pm,,111 Highland Road ,41.8097237,-70.9751578
House Husband,2:00pm – 4:00pm,Pop,80 Craigie St ,42.3882108,-71.1110082
Hummingbyrd,2:00pm – 4:00pm,Americana,32 Spencer Ave ,52.4007445,-1.5241254
Husbands,2:00pm – 4:00pm,Indie,18 Silvey Pl ,42.387292,-71.1105579
Hush Honey,2:00pm – 2:45pm,Blues,46 Rogers Ave ,42.1510004,-72.7315287
Island of Alaska (2:00) & The Koiis…,2:00pm – 4:00pm,Rock,4 Rogers Ave ,43.1765435,-78.6724364
J-Renee,2:00pm – 4:00pm,R&B,515 Medford St ,33.488468,-80.8512428
Jake in the Boxx,2:00pm – 4:00pm,Rock,33 Pearson Ave ,42.3958456,-71.1118609
Jake Jarvis,2:00pm – 4:00pm,Singer/songwriter,32 Tower St ,42.3903786,-71.0064882
JARLsberg at LARJ,2:00pm – 3:00pm,Pop,26 Hall St ,55.4239273,-5.6033439
Jess Fulkerson presents: Fulk Rock,2:00pm – 4:00pm,Folk,46 White St ,42.7764396,-81.193691
Jet Lag,2:00pm – 4:00pm,Soul,15 Lesley Ave ,42.2247786,-71.8102852
Joanne the Band,2:00pm – 4:00pm,Americana,53 Cherry St ,42.362347,-71.2272947
Josh and the Wittness,2:00pm – 4:00pm,,5 Hancock St ,42.2512254,-71.8189482
"Katie, Aaron & Friends",2:00pm – 2:15pm,Classical,18 Silvey Pl ,42.387292,-71.1105579
Kev on the Keys/Butter,2:00pm – 4:00pm,Pop,10 Woodbine St ,40.7614742,-73.0008485
Kev on the Keys/Teresa Elaine and B…,2:00pm – 4:00pm,Pop,10 Woodbine St ,40.7614742,-73.0008485
King Zero,2:00pm – 4:00pm,Rock,32 Princeton St ,42.3769339,-71.03806
KONG,2:00pm – 4:00pm,Funk,49 Crown St ,52.4414861,0.6044463
Le Prestige,2:00pm – 3:00pm,Funk,30 Glenwood Rd ,38.289991,-85.6344939
lightenup,2:00pm – 4:00pm,Indie,36 Rogers Ave ,42.4672736,-70.9509847
Lunatic Neighbor,2:00pm – 4:00pm,Pop,5 Windsor Rd ,-27.4544676,153.0071214
mad transmission,2:00pm – 2:30pm,"Hip hop, Punk",31 Trull St ,42.394043,-71.1040982
Mailman Dan,2:00pm – 4:00pm,Rock,65 Josephine Ave ,41.3001991,-72.9671138
Man Feelings,2:00pm – 4:00pm,Rock,118 Josephine Ave ,42.3991689,-71.1127268
"Matt S. Fuller, Pianist",2:00pm – 4:00pm,Jazz,44 Ivaloo Street ,42.3809764,-71.1090824
Meredith Irene + Special Guest,2:00pm – 4:00pm,"Americana, Classical",56 White St ,55.8638307,-3.6891106
Meyer Lemon Louis,2:00pm – 3:30pm,Blues,65 Belmont Street ,42.0516393,-71.0785431
Meyersville,2:00pm – 4:00pm,Indie,62 hudson st ,51.9096031,-2.0790731
Michael Reilly Peraza is That Guy,2:00pm – 4:00pm,Rock,29 Warwick St ,52.9412923,-1.1788807
Mixtape Misfits,2:00pm – 4:00pm,Rock,12 Aberdeen Rd ,40.8272129,-73.2124236
Molly's Misfits,2:00pm – 3:00pm,Rock,55 Prichard Ave ,42.3962469,-71.110813
money$tella,2:00pm – 4:00pm,Electronic,1 Westwood Rd ,42.4655628,-71.2145971
Morrison Meows,2:00pm – 4:00pm,Pop,98 Morrison Ave ,42.3953789,-71.1151972
Mutual Beef Company,2:00pm – 4:00pm,Jazz,87 Porter St ,44.1200887,-79.5628333
Neighborhood Dog,2:00pm – 4:00pm,Rock,28 Fisk Ave ,42.2226112,-70.933996
Nightjar,2:00pm – 3:00pm,Singer/songwriter,17 Ibbetson St ,42.38547,-71.1117032
Noncompliant,2:00pm – 4:00pm,Rock,17 Albion St ,50.620436,-3.4107858
Orbital Gun,2:00pm – 4:00pm,Rock,44 Linden Ave ,42.4806308,-70.8930151
Overnight Parking Band,2:00pm – 4:00pm,Rock,94 Albion St ,43.671258,-70.313408
"Pink Slip, Bad Idea USA,  Blame Shi…",2:00pm – 4:00pm,Punk,96 Rogers Ave ,42.3984981,-71.1123251
PK and the Mighty Seven,2:00pm – 4:00pm,Soul,53 Highland Rd ,40.3497467,-80.0479193
Porter to Davis,2:00pm – 3:30pm,Jazz,69 Lexington Ave ,44.7047474,-63.5340788
Poster Colors,2:00pm – 4:00pm,Rock,"50 Porter Street, APT #2 ",47.28167,8.45023
Pretty Pantha,2:00pm – 4:00pm,Rock,Wade Ct ,37.7818204,-92.1399772
Quantum Moon,2:00pm – 4:00pm,Jazz,44 Josephine Avenue ,41.8466117,-74.078893
rat of the year,2:00pm – 4:00pm,Rock,40 Burnside Ave ,53.3717737,-2.5733489
Real Gone,2:00pm – 4:00pm,Americana,183 Hudson Street ,42.3292379,-71.6308635
Remarkably Mild,2:00pm – 4:00pm,Indie,28 Rogers Ave ,42.1568801,-72.4919639
Riches the Fish,2:00pm – 4:00pm,"Indie, Rock",55 Fremont St ,41.5266502,-72.8208097
Right on Red,2:00pm – 3:30pm,"Folk, Funk, Pop, Punk, Rock",49 Spencer Ave ,42.3938091,-71.1138574
"Rohan, Charlie, and Jeff (Contra Da…",2:00pm – 4:00pm,Folk,69 Morrison Avenue ,37.0504427,-76.4628825
Sarah Scala,2:00pm – 4:00pm,Indie,10 Hall St ,51.4331944,-2.6064693
See You At Rogers,2:00pm – 4:00pm,"Indie, Pop, Rock, Singer/songwriter",3 Morrison Avenue ,-36.816916,174.8023591
Smith and Company,2:00pm – 4:00pm,Rock,42 Boston Ave ,42.4203457,-71.1348449
Some Kind Of Infernal Machine,2:00pm – 4:00pm,Americana,102 Lexington Ave ,42.2929194,-71.2274478
"Sorry, Ma!",2:00pm – 4:00pm,Rock,24 Alpine St. ,42.6142956,-73.740417
Stanley and the Undercovers,2:00pm – 4:00pm,Rock,83 Highland Rd ,41.8160353,-70.9725243
Strummerville Ukulele Club,2:00pm – 4:00pm,Folk,63 Trull St. ,42.3949906,-71.1034643
sunnydaze,2:00pm – 3:00pm,Funk,122 Rogers Ave ,37.8258715,-92.5075133
Sunroom,2:00pm – 3:30pm,Rock,44 Belmont St ,42.5713429,-71.7914879
Superpink/Nearest Neighbor,2:00pm – 4:00pm,"Funk, Indie, Pop, Rock",87 Morrison Ave ,42.3955896,-71.1146613
The Anchovies,2:00pm – 4:00pm,Rock,28 Holyoke Rd ,42.3882134,-71.1167474
The Blue Chairs,2:00pm – 4:00pm,Rock,107 Highland Rd ,40.5323827,-79.8713649
the dead flowers,2:00pm – 4:00pm,Rock,34 Morrison Ave ,42.3946873,-71.1124846
The Dotted Lines,2:00pm – 4:00pm,Indie,10 Steeves Circle ,42.3910525,-71.1150313
The Dues / Far From The Tree,2:00pm – 4:00pm,Americana,6 Aberdeen Rd ,40.8265359,-73.2130996
The Elegies,2:00pm – 4:00pm,Indie,47 Trull St. ,42.3945025,-71.1037987
The Fort Point Ramblers,2:00pm – 4:00pm,Bluegrass,17 Mountain Ave ,38.320183,-122.4858323
The Pow! Arrangers & Levity Vocals,2:00pm – 2:30pm,Indie,61 Hudson St ,41.3549855,-74.2655371
